"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Measure Name","Achievement Measure Rate","Kt/V Comprehensive Measure Score","Kt/V Comprehensive Reason for No Score (See Footnotes File)","State Average Kt/V Comprehensive Measure Score","National Average Kt/V Comprehensive Measure Score"
"WALKER COUNTY DIALYSIS","012533","-","260 6TH AVENUE NORTHWEST","JASPER","AL","35504","8","KT/V COMPREHENSIVE","  96.45%","7","-","7","7"
"BESSEMER KIDNEY CENTER","012534","-","975 9TH AVE SW SUITE 500","BESSEMER","AL","35022","8","KT/V COMPREHENSIVE","  98.98%","10","-","7","7"
"PCD PRATTVILLE","012535","-","600 MCQUEEN SMITH ROAD SOUTH","PRATTVILLE","AL","36066","8","KT/V COMPREHENSIVE","  98.44%","9","-","7","7"
"FMC MONTCLAIR","012536","-","7780 LUDINGTON LANE","BIRMINGHAM","AL","35210","8","KT/V COMPREHENSIVE","  97.94%","9","-","7","7"
"FMC PRICHARD","012537","-","4016 HWY 45","WHISTLER","AL","36613","8","KT/V COMPREHENSIVE","  95.36%","6","-","7","7"
"RCG ANDALUSIA","012538","-","1208 WEST BYPASS","ANDALUSIA","AL","36420","8","KT/V COMPREHENSIVE","  98.11%","9","-","7","7"
"FMC MONROEVILLE (WHETSTONE)","012540","-","676 S ALABAMA AVE","MONROEVILLE","AL","36460","8","KT/V COMPREHENSIVE","  98.04%","9","-","7","7"
"FMC DADEVILLE","012541","-","52 WATERWORKS RD","DADEVILLE","AL","36853","8","KT/V COMPREHENSIVE","  97.22%","8","-","7","7"
"RAINBOW CITY DIALYSIS","012542","-","2800 RAINBOW DRIVE","RAINBOW CITY","AL","35906","8","KT/V COMPREHENSIVE","  97.93%","9","-","7","7"
"DEMOPOLIS DIALYSIS","012543","-","511 S CEDAR AVE","DEMOPOLIS","AL","36732","8","KT/V COMPREHENSIVE","  97.48%","8","-","7","7"
"OZARK DIALYSIS","012544","-","195 BUNTING DRIVE","OZARK","AL","36360","8","KT/V COMPREHENSIVE","  94.66%","5","-","7","7"
"TUSCALOOSA DIALYSIS","012545","-","805 OLD MILL STREET","TUSCALOOSA","AL","35401","8","KT/V COMPREHENSIVE","  95.24%","6","-","7","7"
"FMC TUSKEGEE","012546","-","802 E. MARTIN LUTHER KING HWY","TUSKEGEE","AL","36083","8","KT/V COMPREHENSIVE","  97.23%","8","-","7","7"
"FMC EASTERN SHORE","012547","-","124 PROFESSIONAL PARK DR","FAIRHOPE","AL","36532","8","KT/V COMPREHENSIVE","  97.99%","9","-","7","7"
"FAYETTE DIALYSIS","012548","-","2450 TEMPLE AVE N","FAYETTE","AL","35555","8","KT/V COMPREHENSIVE","  97.78%","9","-","7","7"
"BIO-MEDICAL APPLICATIONS OF ALABAMA INC.","012549","-","1205 BELLEVILLE AVE.","BREWTON","AL","36426","8","KT/V COMPREHENSIVE","  97.58%","8","-","7","7"
"GREENE COUNTY DIALYSIS","012550","-","544 HIGHWAY 43","EUTAW","AL","35462","8","KT/V COMPREHENSIVE","  99.43%","10","-","7","7"
"SHEFFIELD DIALYSIS","012551","-","1120 S JACKSON HWY STE 107","SHEFFIELD","AL","35660","8","KT/V COMPREHENSIVE","  98.23%","9","-","7","7"
"BIO-MEDICAL APPLICATIONS OF ALABAMA INC","012552","-","65 NORTH CATHERINE STREET","MOBILE","AL","36604","8","KT/V COMPREHENSIVE","  98.37%","9","-","7","7"
"PCD ELMORE COUNTY","012553","-","125 HOSPITAL DRIVE","WETUMPKA","AL","36092","8","KT/V COMPREHENSIVE","  99.23%","10","-","7","7"
"NNA OF ALABAMA, INC","012556","-","7067 VETERANS PKWY SUITE 120","PELL CITY","AL","35125","8","KT/V COMPREHENSIVE","  98.83%","10","-","7","7"
"DCI DECATUR","012558","-","1601 6TH AVENUE SOUTH EAST","DECATUR","AL","35601","8","KT/V COMPREHENSIVE","  97.67%","8","-","7","7"
"FMC UNIVERSITY SOUTH ALABAMA","012559","-","700 CLINIC DRIVE","MOBILE","AL","36688","8","KT/V COMPREHENSIVE","  92.78%","3","-","7","7"
"FMC LAKEVIEW","012561","-","45 MEDICAL PARK DR., STE A","GUNTERSVILLE","AL","35976","8","KT/V COMPREHENSIVE","  99.44%","10","-","7","7"
"DCI PELL CITY","012562","-","62 COGSWELL DRIVE","PELL CITY","AL","35125","8","KT/V COMPREHENSIVE","  97.05%","8","-","7","7"
"DCI CULLMAN","012563","-","1734 EVA ROAD NE","CULLMAN","AL","35055","8","KT/V COMPREHENSIVE","  99.09%","10","-","7","7"
"SOUTH BALDWIN DIALYSIS CENTER","012565","-","150 W PEACHTREE AVE","FOLEY","AL","36535","8","KT/V COMPREHENSIVE","  95.36%","6","-","7","7"
"FMC SYLACAUGA","012566","-","314 WEST SPRING STREET","SYLACAUGA","AL","35150","8","KT/V COMPREHENSIVE","  98.65%","10","-","7","7"
"FMC PARKWAY","012568","-","1311 N MEMORIAL PKWY STE 100","HUNTSVILLE","AL","35801","8","KT/V COMPREHENSIVE","  98.17%","9","-","7","7"
"NORTHPORT DIALYSIS","012570","-","2401 HOSPITAL DRIVE","NORTHPORT","AL","35476","8","KT/V COMPREHENSIVE","  95.12%","5","-","7","7"
"DCI GEORGIANA","012571","-","715 MEETING ST","GEORGIANA","AL","36033","8","KT/V COMPREHENSIVE","  96.55%","7","-","7","7"
"FMC CAMELLIA","012572","-","350 PAUL STABLER DRIVE","GREENVILLE","AL","36037","8","KT/V COMPREHENSIVE","  96.91%","8","-","7","7"
"DCI BIRMINGHAM","012573","-","8713 PARKWAY EAST","BIRMINGHAM","AL","35206","8","KT/V COMPREHENSIVE","  99.00%","10","-","7","7"
"FMC CHAMBERS","012574","-","802 HOSPITAL STREET","LAFAYETTE","AL","36862","8","KT/V COMPREHENSIVE","  99.70%","10","-","7","7"
"RCG WALKER","012575","-","3510 3RD STREET NE","JASPER","AL","35504","8","KT/V COMPREHENSIVE","  97.75%","9","-","7","7"
"DCI MONTGOMERY","012576","-","544 SOUTH MCDONOUGH STREET","MONTGOMERY","AL","36104","8","KT/V COMPREHENSIVE","  90.79%","1","-","7","7"
"RCG SOUTHSIDE","012578","-","2131 MAGNOLIA AVE SOUTH #100","BIRMINGHAM","AL","35205","8","KT/V COMPREHENSIVE","  92.50%","2","-","7","7"
"FMC DAUPHIN ISLAND PKWY","012579","-","2381 DAUPHIN ISLAND PARKWAY","MOBILE","AL","36605","8","KT/V COMPREHENSIVE","  97.47%","8","-","7","7"
"FMC THOMASVILLE","012580","-","30230 HWY 43","THOMASVILLE","AL","36784","8","KT/V COMPREHENSIVE","  89.89%","0","-","7","7"
"FMC WILCOX","012582","-","229 CAMDEN BYPASS","CAMDEN","AL","36726","8","KT/V COMPREHENSIVE","  99.38%","10","-","7","7"
"BESSEMER DIALYSIS","012583","-","901 WESTLAKE MALL STE 101","BESSEMER","AL","35020","8","KT/V COMPREHENSIVE","  93.49%","3","-","7","7"
"ENSLEY DIALYSIS","012585","-","2630 AVENUE E","BIRMINGHAM","AL","35218","8","KT/V COMPREHENSIVE","  96.83%","7","-","7","7"
"SYLACAUGA DIALYSIS","012588","-","331 JAMES PAYTON BLVD","SYLACAUGA","AL","35150","8","KT/V COMPREHENSIVE","  95.17%","5","-","7","7"
"BIRMINGHAM NORTH DIALYSIS","012589","-","1917 32ND AVENUE NORTH","BIRMINGHAM","AL","35207","8","KT/V COMPREHENSIVE","  97.92%","9","-","7","7"
"DCI MOULTON","012590","-","1962 MAIN STREET","MOULTON","AL","35650","8","KT/V COMPREHENSIVE","  91.21%","3","-","7","7"
"FMC SHELBY","012591","-","1022 FIRST STREET NORTH SUITE 101","ALABASTER","AL","35007","8","KT/V COMPREHENSIVE","  98.39%","9","-","7","7"
"BIRMINGHAM CENTRAL DIALYSIS","012592","-","728 RICHARD ARRINGTON BLVD S","BIRMINGHAM","AL","35233","8","KT/V COMPREHENSIVE","  97.48%","8","-","7","7"
"FMC ODYSSEY DIALYSIS","012593","-","40 HUGHES ROAD","MADISON","AL","35758","8","KT/V COMPREHENSIVE","  94.00%","4","-","7","7"
"BOAZ DIALYSIS","012594","-","16 CENTRAL HENDERSON ROAD","BOAZ","AL","35957","8","KT/V COMPREHENSIVE","  98.72%","10","-","7","7"
"RCG FORT PAYNE","012595","-","2202 JORDAN ROAD SW SUITE 100","FORT PAYNE","AL","35968","8","KT/V COMPREHENSIVE","  98.57%","10","-","7","7"
"FKC MONTGOMERY","012596","-","3625 MCGEHEE PLACE DRIVE NORTH","MONTGOMERY","AL","36111","8","KT/V COMPREHENSIVE","  91.88%","1","-","7","7"
"FMC BAY MINETTE","012597","-","2505 HAND AVENUE","BAY MINETTE","AL","36507","8","KT/V COMPREHENSIVE","  97.15%","8","-","7","7"
"DCI PHENIX CITY","012598","-","1611 21ST COURT","PHENIX CITY","AL","36867","8","KT/V COMPREHENSIVE","  96.97%","8","-","7","7"
"FMC PORT CITY","012599","-","201 ST. JOSEPH STREET, SUITE B","MOBILE","AL","36602","8","KT/V COMPREHENSIVE","  93.12%","3","-","7","7"
"ATMORE DIALYSIS CENTER","012600","-","807 EAST CRAIG STREET","ATMORE","AL","36502","8","KT/V COMPREHENSIVE","  96.62%","7","-","7","7"
"FMC WEST","012601","-","633 LOMB AVENUE","BIRMINGHAM","AL","35211","8","KT/V COMPREHENSIVE","  96.34%","7","-","7","7"
"RUSSELLVILLE DIALYSIS","012602","-","14897 HWY 43","RUSSELLVILLE","AL","35653","8","KT/V COMPREHENSIVE","  95.40%","6","-","7","7"
"FMC FAIRFIELD (STEEL CITY)","012603","-","6508 E. J. OLIVER BLVD","FAIRFIELD","AL","35064","8","KT/V COMPREHENSIVE","  97.05%","8","-","7","7"
"RCG CLANTON","012604","-","275 HEALTH CENTER DRIVE","CLANTON","AL","35045","8","KT/V COMPREHENSIVE","  98.47%","9","-","7","7"
"FMC CHASE","012606","-","1849 KEATS DRIVE NORTHWEST","HUNTSVILLE","AL","35810","8","KT/V COMPREHENSIVE","  95.73%","6","-","7","7"
"ROANOKE DIALYSIS CLINIC","012607","-","4459 US HIGHWAY 431","ROANOKE","AL","36274","8","KT/V COMPREHENSIVE","  99.38%","10","-","7","7"
"RCG ONEONTA","012608","-","150 GILBREATH DRIVE, SUITE 1","ONEONTA","AL","35121","8","KT/V COMPREHENSIVE","  98.76%","10","-","7","7"
"EUFAULA DIALYSIS","012609","-","220 SOUTH ORANGE AVE","EUFAULA","AL","36027","8","KT/V COMPREHENSIVE","  98.47%","9","-","7","7"
"FMC MAGNOLIA","012610","-","7940 MOFFETT ROAD","SEMMES","AL","36575","8","KT/V COMPREHENSIVE","  96.76%","7","-","7","7"
"FMC DALLAS COUNTY","012611","-","200 SOUTH PARK PL","SELMA","AL","36701","8","KT/V COMPREHENSIVE","  97.67%","8","-","7","7"
"FMC GARDENDALE","012612","-","592 FIELDSTOWN ROAD SUITE 102","GARDENDALE","AL","35071","8","KT/V COMPREHENSIVE","  96.04%","6","-","7","7"
"FMC DISCOVERY","012613","-","1131 EAGLETREE LN, STE100","HUNTSVILLE","AL","35801","8","KT/V COMPREHENSIVE","  96.90%","8","-","7","7"
"FMC VALLEY CREEK","012614","-","201 LINCOLN LANE","SELMA","AL","36701","8","KT/V COMPREHENSIVE","  96.42%","7","-","7","7"
"FMC AUBURN","012615","-","211 E UNIVERSITY DR","AUBURN","AL","36832","8","KT/V COMPREHENSIVE","  95.23%","5","-","7","7"
"LANDMARK DIALYSIS","012616","-","717 STONE AVE","TALLADEGA","AL","35160","8","KT/V COMPREHENSIVE","  99.29%","10","-","7","7"
"FMC ALEXANDER CITY","012617","-","3368 HWY 280 BYPASS SUITE G-1","ALEXANDER CITY","AL","35010","8","KT/V COMPREHENSIVE","  98.89%","10","-","7","7"
"RRC NORTHRIDGE","012618","-","4400 WATERMELON ROAD SUITE A","NORTHPORT","AL","35473","8","KT/V COMPREHENSIVE","  93.21%","3","-","7","7"
"TUSCALOOSA NEPHROLOGY ASSOC HOME DIALYSIS","012619","-","1850 MCFARLAND BLVD NORTH","TUSCALOOSA","AL","35406","8","KT/V COMPREHENSIVE","  93.33%","4","-","7","7"
"HOME DIALYSIS OF NORTH ALABAMA","012620","-","1216 SOMERVILLE ROAD, SE","DECATUR","AL","35601","8","KT/V COMPREHENSIVE","  84.67%","0","-","7","7"
"RAI-SNOW ST-OXFORD","012621","-","711 SNOW STREET","OXFORD","AL","36203","8","KT/V COMPREHENSIVE","  95.79%","7","-","7","7"
"DAVITA TALLADEGA","012622","-","726 E BATTLE STREET SUITE A","TALLADEGA","AL","35160","8","KT/V COMPREHENSIVE","  99.09%","10","-","7","7"
"DAVITA CENTER POINT DIALYSIS","012623","-","2337 1ST ST NE","CENTER POINT","AL","35215","8","KT/V COMPREHENSIVE","  95.76%","6","-","7","7"
"FMC MIDFIELD DIALYSIS","012624","-","613 BESSEMER SUPER HIGHWAY","BIRMINGHAM","AL","35228","8","KT/V COMPREHENSIVE","  98.58%","10","-","7","7"
"RAI JACKSONVILLE","012625","-","331 HENRY RD, S.W.","JACKSONVILLE","AL","36265","8","KT/V COMPREHENSIVE","  98.38%","9","-","7","7"
"FMC NORTHWEST ALABAMA KIDNEY CENTER","012626","-","638 TAHOE ROAD","WINFIELD","AL","35594","8","KT/V COMPREHENSIVE","  96.66%","7","-","7","7"
"HOME DIALYSIS OPTIONS OF BALDWIN COUNTY","012627","-","27880 N. MAIN ST, SUITE A","DAPHNE","AL","36526","8","KT/V COMPREHENSIVE","  97.11%","8","-","7","7"
"OPELIKA DIALYSIS CENTER","012628","-","2340 PEPPERELL PKWY","OPELIKA","AL","36801","8","KT/V COMPREHENSIVE","  99.27%","10","-","7","7"
"DAVITA RENAISSANCE","012629","-","1840 DARBY DRIVE","FLORENCE","AL","35630","8","KT/V COMPREHENSIVE"," 100.00%","10","-","7","7"
"DAVITA WIREGRASS KIDNEY CENTER","012630","-","1450 ROSS CLARK CIRCLE SUITE 200","DOTHAN","AL","36301","8","KT/V COMPREHENSIVE","  92.88%","3","-","7","7"
"GULF SHORES DIALYSIS CENTER","012631","-","3947 GULF SHORES PARKWAY","GULF SHORES","AL","36542","8","KT/V COMPREHENSIVE","  98.80%","10","-","7","7"
"MUSCLE SHOALS DIALYSIS","012632","-","712 STATE STREET","MUSCLE SHOALS","AL","35661","8","KT/V COMPREHENSIVE"," 100.00%","10","-","7","7"
"FMC PRATTVILLE","012633","-","692 COVERED BRIDGE PARKWAY","PRATTVILLE","AL","36066","8","KT/V COMPREHENSIVE","  96.76%","7","-","7","7"
"FMC FOLEY","012634","-","230 EAST FERN AVENUE","FOLEY","AL","36535","8","KT/V COMPREHENSIVE","  99.24%","10","-","7","7"
"FMC JAGUAR","012636","-","575 STANTON ROAD UNIT B","MOBILE","AL","36617","8","KT/V COMPREHENSIVE","  93.84%","4","-","7","7"
"DCI HIGHLAND PARK","012637","-","1912 CHERRY STREET","MONTGOMERY","AL","36107","8","KT/V COMPREHENSIVE","  91.70%","1","-","7","7"
"FMC HOOVER","012638","-","2104 LORNA RIDGE LANE","HOOVER","AL","35216","8","KT/V COMPREHENSIVE","  99.41%","10","-","7","7"
"FMC MONTEVALLO","012639","-","3883 HIGHWAY 25","MONTEVALLO","AL","35115","8","KT/V COMPREHENSIVE","  95.83%","6","-","7","7"
"PICKENS COUNTY DIALYSIS","012640","-","289 WILLIAM E HILL DRIVE SUITE A","CARROLLTON","AL","35447","8","KT/V COMPREHENSIVE","  96.39%","7","-","7","7"
"DCI EVERGREEN","012641","-","822 WILD AVENUE","EVERGREEN","AL","36401","8","KT/V COMPREHENSIVE","  94.07%","4","-","7","7"
"DAVITA ENTERPRISE","012642","-","6002 BOLL WEEVIL CIRCLE","ENTERPRISE","AL","36330","8","KT/V COMPREHENSIVE","  98.26%","9","-","7","7"
"ENDEAVOR DIALYSIS","012643","-","1675 SPARKMAN DRIVE","HUNTSVILLE","AL","35816","8","KT/V COMPREHENSIVE","  98.69%","10","-","7","7"
"JEWEL DIALYSIS","012644","-","514 W. TOWN PLAZA","BESSEMER","AL","35020","8","KT/V COMPREHENSIVE","  97.03%","8","-","7","7"
"MAGIC CITY DIALYSIS","012645","-","300 22ND ST. S","BIRMINGHAM","AL","35233","8","KT/V COMPREHENSIVE","  96.50%","7","-","7","7"
"STEEL CITY DIALYSIS","012646","-","1809 AVENUE H","BIRMINGHAM","AL","35218","8","KT/V COMPREHENSIVE"," 100.00%","10","-","7","7"
"CROWN DIALYSIS","012647","-","3007 27TH STREET NORTH","BIRMINGHAM","AL","35207","8","KT/V COMPREHENSIVE","  98.23%","9","-","7","7"
"FRESENIUS KIDNEY CARE GADSDEN ACQ, LLC","012648","-","800 GOODYEAR AVENUE","GADSDEN","AL","35903","8","KT/V COMPREHENSIVE","  96.34%","7","-","7","7"
"FRESENIUS KIDNEY CARE UNION SPRINGS, LLC","012649","-","112 W CONECUH AVE","UNION SPRINGS","AL","36089","8","KT/V COMPREHENSIVE","  90.19%","2","-","7","7"
"RENAL TREATMENT CENTERS SOUTHEAST LP","012650","-","16236 LUCAS FERRY ROAD","ATHENS","AL","35611","8","KT/V COMPREHENSIVE","  94.37%","6","-","7","7"
"FMC FORESTDALE","012651","-","1004 FORESTDALE BLVD","BIRMINGHAM","AL","35214","8","KT/V COMPREHENSIVE","  92.64%","2","-","7","7"
"LEEDS DIALYSIS","012652","-","1650 MAXEY DRIVE","LEEDS","AL","35094","8","KT/V COMPREHENSIVE","  96.76%","7","-","7","7"
"FRESENIUS KIDNEY CARE PHENIX CITY, LLC","012653","-","5009 RIVERCHASE DRIVE SUITE 300","PHENIX CITY","AL","36867","8","KT/V COMPREHENSIVE","  91.12%","4","-","7","7"
"BIO-MEDICAL APPLICATIONS OF ALABAMA","012654","-","100 MITYLENE PARK LN","MONTGOMERY","AL","36117","8","KT/V COMPREHENSIVE","  93.95%","4","-","7","7"
"RENAL TREATMENT CENTERS SOUTHEAST LP","012655","-","757 SOUTH THREE NOTCH STREET","ANDALUSIA","AL","36420","8","KT/V COMPREHENSIVE","  98.51%","9","-","7","7"
"DCI MITYLENE PARK","012656","-","29 MITYLENE PARK LANE","MONTGOMERY","AL","36117","8","KT/V COMPREHENSIVE","  92.08%","2","-","7","7"
"FRESENIUS MEDICAL CARE BIRMINGHAM HOME, LLC","012657","-","35 WEST LAKESHORE DRIVE SUITE 105","BIRMINGHAM","AL","35209","8","KT/V COMPREHENSIVE","  90.96%","1","-","7","7"
"RENAL TREATMENT CENTERS SOUTHEAST LP","012658","-","40 PURPLE HEART BLVD","SPRINGVILLE","AL","35146","8","KT/V COMPREHENSIVE","  94.01%","4","-","7","7"
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.","012659","-","9540 PARKWAY E","BIRMINGHAM","AL","35215","8","KT/V COMPREHENSIVE","  95.42%","6","-","7","7"
"FRESENIUS KIDNEY CARE ATTALLA, LLC","012660","-","801 GILBERT FERRY RD SE","ATTALLA","AL","35954","8","KT/V COMPREHENSIVE","  99.10%","10","-","7","7"
"RTC-SOUTHEAST, LP","012661","-","300 MEDICAL CENTER DRIVE SUITE 100","GADSDEN","AL","35903","8","KT/V COMPREHENSIVE","  97.46%","8","-","7","7"
"FRESENIUS MEDICAL CARE","012662","-","114 MITYLENE PARK LANE","MONTGOMERY","AL","36117","8","KT/V COMPREHENSIVE","  87.50%","5","-","7","7"
"RENAL TREATMENT CENTERS SOUTHEAST LP","012663","-","611 EAST LAFAYETTE STREET","MARION","AL","36756","8","KT/V COMPREHENSIVE","  99.71%","10","-","7","7"
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.","012664","-","12401 SKOPELOS RD","GRAND BAY","AL","36541","8","KT/V COMPREHENSIVE","  97.56%","8","-","7","7"
"RENAL TREATMENT CENTERS SOUTHEAST, LP","012665","-","1023 DOUGLAS AVENUE SUITE 300","BREWTON","AL","36426","8","KT/V COMPREHENSIVE","  96.94%","8","-","7","7"
"RTC-SOUTHEAST, LP","012666","-","1612 NOBLE STREET","ANNISTON","AL","36201","8","KT/V COMPREHENSIVE","  99.33%","10","-","7","7"
"BIO MEDICAL APPLICATIONS OF ALABAMA, INC.","012667","-","917 B PLANTATION BLVD","FAIRHOPE","AL","36532","8","KT/V COMPREHENSIVE","  97.99%","9","-","7","7"
"BAGBY DIALYSIS, LLC","012668","-","671 OZARK ROAD","ABBEVILLE","AL","36310","8","KT/V COMPREHENSIVE","  99.18%","10","-","7","7"
"FARRAGUT DIALYSIS, INC","012669","-","2958 DORCHESTER DRIVE","MONTGOMERY","AL","36116","8","KT/V COMPREHENSIVE","  94.14%","4","-","7","7"
"DVA RENAL HEALTHCARE INC","012670","-","300-B 22ND STREET SOUTH","BIRMINGHAM","AL","35233","8","KT/V COMPREHENSIVE","  96.60%","7","-","7","7"
"FRESENIUS MEDICAL CARE HUNTSVILLE HOME, LLC","012671","-","2325 PANSY STREET","HUNTSVILLE","AL","35801","8","KT/V COMPREHENSIVE","  97.46%","8","-","7","7"
"FRESENIUS MEDICAL CARE WEST MADISON, LLC","012672","-","29569 HUNTSVILLE BROWNS FERRY RD","MADISON","AL","35756","8","KT/V COMPREHENSIVE","  93.66%","4","-","7","7"
"CURECANTI DIALYSIS LLC","012673","-","1763 E MAIN STREET","DOTHAN","AL","36301","8","KT/V COMPREHENSIVE","  94.57%","5","-","7","7"
"BIO MEDICAL APPLICATIONS OF ALABAMA, INC","012674","-","700 SARA G LOTT BLVD","BRUNDIDGE","AL","36010","8","KT/V COMPREHENSIVE","  96.72%","7","-","7","7"
"RENAL TREATMENT CENTERS SOUTHEAST, LP","012676","-","5406 HIGHWAY 280, SUITE D107","BIRMINGHAM","AL","35242","8","KT/V COMPREHENSIVE","  99.24%","10","-","7","7"
"DIALYSIS CLINIC, INC","012677","-","100 W LAKE PROFESSIONAL PARK SUITE 7","GENEVA","AL","36340","8","KT/V COMPREHENSIVE","  99.05%","10","-","7","7"
"FRESENIUS MEDICAL CARE MCCALLA, LLC","012678","-","4748 BELL HILL ROAD","BESSEMER","AL","35022","8","KT/V COMPREHENSIVE","  94.34%","4","-","7","7"
"RENAL TREATMENT CENTERS SOUTHEAST, LP","012679","-","505 HIGHWAY 80 W, SUITE F","DEMOPOLIS","AL","36732","8","KT/V COMPREHENSIVE","  99.78%","10","-","7","7"
"BIO-MEDICAL APPLICATIONS OF ALABAMA","012680","-","1012 FRIENDSHIP ROAD","TALLASSEE","AL","36078","8","KT/V COMPREHENSIVE","  96.55%","7","-","7","7"
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC","012681","-","11839 HIGHWAY 231-431 NORTH","MERIDIANVILLE","AL","35759","8","KT/V COMPREHENSIVE","  97.17%","8","-","7","7"
"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.","012682","-","2017 QUINTARD AVE, SUITE B","ANNISTON","AL","36201","8","KT/V COMPREHENSIVE","  95.59%","6","-","7","7"
